Date,Actual_Price,ARIMA_Forecast,SARIMA_Forecast
2018-06-29,3043,2823.5141975685424,3032.618334665972
2018-06-30,3043,2823.386790956906,3032.8554889223124
2018-07-01,3043,2823.2597356778424,3033.092771625302
2018-07-02,3029,2823.1330307625267,3033.3299063972017
2018-07-03,3050,2823.006675244807,3033.567136303687
2018-07-04,3062,2822.880668161195,3033.8044259313447
2018-07-05,3064,2822.755008550859,3034.041933067479
2018-07-06,3056,2822.6296954556187,3034.279418914376
2018-07-07,3056,2822.5047279199334,3034.5167461995543
2018-07-08,3056,2822.3801049908993,3034.7540262739913
2018-07-09,3062,2822.2558257182395,3034.991652259534
2018-07-10,3053,2822.1318891542974,3035.229082547422
2018-07-11,3030,2822.00829435403,3035.4666589078033
2018-07-12,3015,2821.885040375001,3035.7041168340847
2018-07-13,3010,2821.7621262773714,3035.9414450302493
2018-07-14,3011,2821.6395511238948,3036.1790374287566
2018-07-15,3011,2821.5173139799094,3036.416619646381
2018-07-16,3009,2821.3954139133307,3036.6540897456935
2018-07-17,2974,2821.2738499946436,3036.8916633131375
2018-07-18,2976,2821.1526212968975,3037.1292481192368
2018-07-19,2988,2821.0317268956974,3037.3668078579294
2018-07-20,2990,2820.9111658691977,3037.604470954666
2018-07-21,2990,2820.790937298094,3037.8420973321
2018-07-22,2990,2820.671040265617,3038.0796895057165
2018-07-23,2986,2820.5514738575275,3038.3173364280383
2018-07-24,2984,2820.4322371621047,3038.554877693343
2018-07-25,2992,2820.3133292701427,3038.7926447023456
2018-07-26,2978,2820.194749274944,3039.0302883602253
2018-07-27,2978,2820.07649627231,3039.268176336531
2018-07-28,2977,2819.958569360537,3039.5059448582515
2018-07-29,2977,2819.8409676404053,3039.7436561196046
2018-07-30,2974,2819.723690215177,3039.9813970054306
2018-07-31,2971,2819.6067361905866,3040.219226808352
2018-08-01,2946,2819.4901046748346,3040.4569686808454
2018-08-02,2945,2819.3737947785803,3040.6947781558283
2018-08-03,2948,2819.257805614935,3040.932632573561
2018-08-04,2948,2819.1421362994574,3041.170632899203
2018-08-05,2948,2819.0267859501428,3041.408626331864
2018-08-06,2949,2818.911753687421,3041.6465250344227
2018-08-07,2949,2818.7970386341453,3041.884400258452
2018-08-08,2949,2818.6826399155893,3042.1225035545212
2018-08-09,2949,2818.5685566594375,3042.3604883595967
2018-08-10,2978,2818.4547879957804,3042.5985733654225
2018-08-11,2979,2818.341333057108,3042.8365893205614
